#ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,
#Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1
nm,space,global,direct
378,1.41E+00,8.56E-01,6.03E-01
378.5,1.38E+00,8.34E-01,5.89E-01
379,1.23E+00,7.44E-01,5.26E-01
379.5,1.10E+00,6.67E-01,4.73E-01
380,1.15E+00,7.01E-01,4.98E-01
380.5,1.23E+00,7.51E-01,5.34E-01
381,1.25E+00,7.64E-01,5.44E-01
381.5,1.12E+00,6.88E-01,4.91E-01
382,9.54E-01,5.87E-01,4.20E-01
382.5,8.23E-01,5.08E-01,3.64E-01
383,7.36E-01,4.55E-01,3.26E-01
383.5,7.11E-01,4.40E-01,3.17E-01
384,8.21E-01,5.10E-01,3.67E-01
384.5,9.86E-01,6.14E-01,4.42E-01
385,1.08E+00,6.74E-01,4.86E-01
385.5,1.03E+00,6.44E-01,4.65E-01
386,9.91E-01,6.21E-01,4.50E-01
386.5,1.03E+00,6.46E-01,4.68E-01
387,1.04E+00,6.51E-01,4.73E-01
387.5,1.02E+00,6.42E-01,4.67E-01
388,1.01E+00,6.36E-01,4.64E-01
388.5,9.97E-01,6.31E-01,4.61E-01
389,1.08E+00,6.85E-01,5.01E-01
389.5,1.20E+00,7.60E-01,5.56E-01
390,1.25E+00,7.97E-01,5.85E-01
390.5,1.26E+00,8.04E-01,5.90E-01
391,1.33E+00,8.51E-01,6.26E-01
391.5,1.35E+00,8.63E-01,6.36E-01
392,1.24E+00,7.95E-01,5.87E-01
392.5,1.03E+00,6.63E-01,4.90E-01
393,7.45E-01,4.80E-01,3.55E-01
393.5,5.91E-01,3.82E-01,2.83E-01
394,7.67E-01,4.96E-01,3.68E-01
394.5,1.06E+00,6.84E-01,5.08E-01
395,1.25E+00,8.08E-01,6.01E-01
395.5,1.32E+00,8.60E-01,6.41E-01
396,1.16E+00,7.57E-01,5.64E-01
396.5,8.43E-01,5.50E-01,4.11E-01
397,6.52E-01,4.26E-01,3.19E-01
397.5,9.61E-01,6.29E-01,4.72E-01
398,1.30E+00,8.52E-01,6.39E-01
398.5,1.53E+00,1.01E+00,7.56E-01
399,1.62E+00,1.07E+00,8.04E-01
399.5,1.67E+00,1.10E+00,8.30E-01
400,1.69E+00,1.11E+00,8.40E-01
401,1.75E+00,1.16E+00,8.77E-01
402,1.81E+00,1.21E+00,9.14E-01
403,1.74E+00,1.16E+00,8.82E-01
404,1.76E+00,1.18E+00,8.98E-01
405,1.72E+00,1.15E+00,8.78E-01
406,1.67E+00,1.12E+00,8.59E-01
407,1.63E+00,1.10E+00,8.45E-01
408,1.70E+00,1.15E+00,8.85E-01
409,1.81E+00,1.23E+00,9.47E-01
410,1.54E+00,1.05E+00,8.09E-01
411,1.72E+00,1.17E+00,9.08E-01
412,1.82E+00,1.25E+00,9.67E-01
413,1.74E+00,1.20E+00,9.30E-01
414,1.71E+00,1.18E+00,9.21E-01
415,1.77E+00,1.23E+00,9.56E-01
416,1.82E+00,1.26E+00,9.86E-01
417,1.77E+00,1.23E+00,9.64E-01
418,1.69E+00,1.18E+00,9.24E-01
419,1.75E+00,1.23E+00,9.64E-01
420,1.60E+00,1.12E+00,8.85E-01
421,1.81E+00,1.28E+00,1.01E+00
422,1.78E+00,1.26E+00,9.95E-01
423,1.72E+00,1.22E+00,9.65E-01
424,1.71E+00,1.21E+00,9.62E-01
425,1.76E+00,1.25E+00,9.93E-01
426,1.70E+00,1.21E+00,9.67E-01
427,1.64E+00,1.17E+00,9.36E-01
428,1.65E+00,1.18E+00,9.46E-01
429,1.52E+00,1.10E+00,8.78E-01
430,1.21E+00,8.75E-01,7.01E-01
431,1.10E+00,7.94E-01,6.38E-01
432,1.82E+00,1.32E+00,1.06E+00
433,1.69E+00,1.23E+00,9.91E-01
434,1.56E+00,1.14E+00,9.17E-01
435,1.71E+00,1.25E+00,1.01E+00
436,1.87E+00,1.37E+00,1.11E+00
437,1.90E+00,1.39E+00,1.13E+00
438,1.66E+00,1.22E+00,9.94E-01
439,1.60E+00,1.18E+00,9.58E-01
440,1.83E+00,1.35E+00,1.10E+00
441,1.80E+00,1.33E+00,1.09E+00
442,1.92E+00,1.43E+00,1.16E+00
443,1.95E+00,1.45E+00,1.18E+00
444,1.89E+00,1.41E+00,1.15E+00
445,1.97E+00,1.46E+00,1.20E+00
446,1.76E+00,1.31E+00,1.08E+00
447,1.99E+00,1.49E+00,1.23E+00
448,2.01E+00,1.51E+00,1.24E+00
449,2.00E+00,1.50E+00,1.24E+00
450,2.07E+00,1.56E+00,1.29E+00
451,2.14E+00,1.62E+00,1.34E+00
452,2.05E+00,1.55E+00,1.28E+00
453,1.89E+00,1.43E+00,1.19E+00
454,2.02E+00,1.53E+00,1.27E+00
455,2.00E+00,1.52E+00,1.27E+00
456,2.06E+00,1.57E+00,1.31E+00
457,2.08E+00,1.59E+00,1.32E+00
458,2.03E+00,1.55E+00,1.29E+00
459,2.01E+00,1.54E+00,1.29E+00
460,2.00E+00,1.53E+00,1.28E+00
461,2.06E+00,1.58E+00,1.33E+00
462,2.08E+00,1.60E+00,1.34E+00
463,2.08E+00,1.60E+00,1.35E+00
464,2.02E+00,1.55E+00,1.31E+00
465,1.98E+00,1.54E+00,1.29E+00
466,2.02E+00,1.57E+00,1.32E+00
467,1.93E+00,1.50E+00,1.26E+00
468,2.01E+00,1.56E+00,1.32E+00
469,2.02E+00,1.57E+00,1.32E+00
470,1.94E+00,1.51E+00,1.27E+00
471,1.97E+00,1.53E+00,1.30E+00
472,2.07E+00,1.61E+00,1.37E+00
473,1.99E+00,1.55E+00,1.31E+00
474,2.01E+00,1.57E+00,1.33E+00
475,2.08E+00,1.62E+00,1.38E+00
476,2.01E+00,1.56E+00,1.33E+00
477,2.03E+00,1.57E+00,1.34E+00
478,2.09E+00,1.62E+00,1.38E+00
479,2.04E+00,1.59E+00,1.36E+00
480,2.07E+00,1.62E+00,1.38E+00
481,2.06E+00,1.62E+00,1.38E+00
482,2.06E+00,1.62E+00,1.39E+00
483,2.03E+00,1.60E+00,1.37E+00
484,1.99E+00,1.57E+00,1.35E+00
485,1.98E+00,1.57E+00,1.35E+00
486,1.60E+00,1.27E+00,1.09E+00
487,1.79E+00,1.42E+00,1.22E+00
488,1.94E+00,1.54E+00,1.33E+00
489,1.82E+00,1.45E+00,1.25E+00
490,2.03E+00,1.62E+00,1.40E+00
491,1.95E+00,1.56E+00,1.34E+00
492,1.86E+00,1.49E+00,1.28E+00
493,1.98E+00,1.59E+00,1.37E+00
494,1.93E+00,1.55E+00,1.34E+00
495,2.05E+00,1.65E+00,1.42E+00
496,1.95E+00,1.57E+00,1.35E+00
497,1.98E+00,1.59E+00,1.38E+00
498,1.92E+00,1.55E+00,1.34E+00
499,1.92E+00,1.55E+00,1.34E+00
500,1.92E+00,1.55E+00,1.34E+00
501,1.86E+00,1.50E+00,1.30E+00
502,1.86E+00,1.50E+00,1.30E+00
503,1.95E+00,1.57E+00,1.36E+00
504,1.83E+00,1.46E+00,1.27E+00
505,1.95E+00,1.56E+00,1.36E+00
506,2.03E+00,1.63E+00,1.42E+00
507,1.94E+00,1.56E+00,1.35E+00
508,1.88E+00,1.52E+00,1.32E+00
509,1.97E+00,1.59E+00,1.39E+00
510,1.91E+00,1.55E+00,1.35E+00
511,1.94E+00,1.58E+00,1.38E+00
512,1.99E+00,1.62E+00,1.41E+00
513,1.87E+00,1.52E+00,1.33E+00
514,1.82E+00,1.49E+00,1.30E+00
515,1.88E+00,1.53E+00,1.34E+00
516,1.89E+00,1.55E+00,1.35E+00
517,1.54E+00,1.26E+00,1.10E+00
518,1.76E+00,1.44E+00,1.26E+00
519,1.70E+00,1.40E+00,1.22E+00
520,1.86E+00,1.52E+00,1.33E+00
521,1.87E+00,1.53E+00,1.35E+00
522,1.92E+00,1.57E+00,1.38E+00
523,1.80E+00,1.48E+00,1.30E+00
524,1.94E+00,1.59E+00,1.40E+00
525,1.93E+00,1.58E+00,1.39E+00
526,1.87E+00,1.53E+00,1.35E+00
527,1.64E+00,1.34E+00,1.18E+00
528,1.88E+00,1.54E+00,1.35E+00
529,1.97E+00,1.61E+00,1.41E+00
530,1.89E+00,1.54E+00,1.36E+00
531,2.00E+00,1.63E+00,1.43E+00
532,1.96E+00,1.60E+00,1.41E+00
533,1.75E+00,1.43E+00,1.26E+00
534,1.87E+00,1.53E+00,1.35E+00
535,1.90E+00,1.55E+00,1.37E+00
536,1.97E+00,1.62E+00,1.43E+00
537,1.82E+00,1.50E+00,1.32E+00
538,1.91E+00,1.57E+00,1.39E+00
539,1.86E+00,1.54E+00,1.36E+00
540,1.80E+00,1.48E+00,1.31E+00
541,1.73E+00,1.43E+00,1.26E+00
542,1.89E+00,1.55E+00,1.37E+00
543,1.85E+00,1.53E+00,1.35E+00
544,1.92E+00,1.58E+00,1.40E+00
545,1.87E+00,1.54E+00,1.37E+00
546,1.86E+00,1.53E+00,1.35E+00
547,1.88E+00,1.55E+00,1.37E+00
548,1.83E+00,1.50E+00,1.33E+00
549,1.88E+00,1.55E+00,1.38E+00
550,1.86E+00,1.54E+00,1.36E+00
551,1.86E+00,1.54E+00,1.36E+00
552,1.90E+00,1.57E+00,1.39E+00
553,1.84E+00,1.53E+00,1.35E+00
554,1.88E+00,1.55E+00,1.38E+00
555,1.89E+00,1.56E+00,1.39E+00
556,1.86E+00,1.54E+00,1.37E+00
557,1.81E+00,1.50E+00,1.33E+00
558,1.85E+00,1.53E+00,1.36E+00
559,1.76E+00,1.45E+00,1.29E+00
560,1.79E+00,1.47E+00,1.31E+00
561,1.89E+00,1.56E+00,1.39E+00
562,1.80E+00,1.48E+00,1.32E+00
563,1.87E+00,1.54E+00,1.37E+00
564,1.84E+00,1.51E+00,1.35E+00
565,1.85E+00,1.52E+00,1.36E+00
566,1.75E+00,1.44E+00,1.28E+00
567,1.87E+00,1.53E+00,1.37E+00
568,1.86E+00,1.52E+00,1.36E+00
569,1.83E+00,1.48E+00,1.32E+00
570,1.83E+00,1.48E+00,1.32E+00
571,1.76E+00,1.43E+00,1.28E+00
572,1.87E+00,1.51E+00,1.35E+00
573,1.88E+00,1.52E+00,1.36E+00
574,1.87E+00,1.51E+00,1.35E+00
575,1.83E+00,1.48E+00,1.32E+00
576,1.82E+00,1.47E+00,1.31E+00
577,1.86E+00,1.50E+00,1.35E+00
578,1.80E+00,1.46E+00,1.30E+00
579,1.82E+00,1.48E+00,1.32E+00
580,1.83E+00,1.50E+00,1.35E+00
581,1.83E+00,1.51E+00,1.35E+00
582,1.85E+00,1.53E+00,1.37E+00
583,1.86E+00,1.55E+00,1.39E+00
584,1.85E+00,1.54E+00,1.38E+00
585,1.84E+00,1.53E+00,1.37E+00
586,1.79E+00,1.50E+00,1.34E+00
587,1.84E+00,1.53E+00,1.37E+00
588,1.82E+00,1.49E+00,1.34E+00
589,1.62E+00,1.29E+00,1.16E+00
590,1.72E+00,1.37E+00,1.23E+00
591,1.81E+00,1.47E+00,1.32E+00
592,1.79E+00,1.44E+00,1.29E+00
593,1.79E+00,1.46E+00,1.31E+00
594,1.79E+00,1.45E+00,1.30E+00
595,1.78E+00,1.43E+00,1.29E+00
596,1.80E+00,1.47E+00,1.33E+00
597,1.81E+00,1.48E+00,1.33E+00
598,1.77E+00,1.46E+00,1.31E+00
599,1.76E+00,1.46E+00,1.31E+00
600,1.77E+00,1.48E+00,1.33E+00
601,1.74E+00,1.46E+00,1.31E+00
602,1.72E+00,1.44E+00,1.29E+00
603,1.75E+00,1.47E+00,1.32E+00
604,1.78E+00,1.49E+00,1.34E+00
605,1.77E+00,1.49E+00,1.34E+00
606,1.76E+00,1.48E+00,1.34E+00
607,1.76E+00,1.49E+00,1.34E+00
608,1.75E+00,1.49E+00,1.34E+00
609,1.73E+00,1.47E+00,1.33E+00
610,1.72E+00,1.47E+00,1.32E+00
611,1.71E+00,1.46E+00,1.32E+00
612,1.74E+00,1.48E+00,1.34E+00
613,1.71E+00,1.46E+00,1.32E+00
614,1.66E+00,1.42E+00,1.28E+00
615,1.71E+00,1.47E+00,1.33E+00
616,1.66E+00,1.43E+00,1.29E+00
617,1.64E+00,1.41E+00,1.27E+00
618,1.70E+00,1.47E+00,1.32E+00
619,1.71E+00,1.47E+00,1.33E+00
620,1.71E+00,1.47E+00,1.33E+00
621,1.72E+00,1.48E+00,1.34E+00
622,1.68E+00,1.43E+00,1.29E+00
623,1.68E+00,1.42E+00,1.28E+00
624,1.67E+00,1.41E+00,1.28E+00
625,1.64E+00,1.40E+00,1.27E+00
626,1.64E+00,1.40E+00,1.27E+00
627,1.69E+00,1.44E+00,1.30E+00
628,1.69E+00,1.36E+00,1.23E+00
629,1.69E+00,1.41E+00,1.28E+00
630,1.67E+00,1.39E+00,1.26E+00
631,1.66E+00,1.42E+00,1.28E+00
632,1.59E+00,1.36E+00,1.23E+00
633,1.67E+00,1.45E+00,1.31E+00
634,1.64E+00,1.43E+00,1.29E+00
635,1.65E+00,1.45E+00,1.31E+00
636,1.61E+00,1.41E+00,1.28E+00
637,1.66E+00,1.46E+00,1.32E+00
638,1.67E+00,1.47E+00,1.33E+00
639,1.65E+00,1.46E+00,1.32E+00
640,1.61E+00,1.43E+00,1.30E+00
641,1.61E+00,1.43E+00,1.30E+00
642,1.61E+00,1.44E+00,1.30E+00
643,1.63E+00,1.45E+00,1.31E+00
644,1.61E+00,1.45E+00,1.31E+00
645,1.63E+00,1.46E+00,1.32E+00
646,1.59E+00,1.42E+00,1.28E+00
647,1.61E+00,1.41E+00,1.27E+00
648,1.60E+00,1.40E+00,1.26E+00
649,1.55E+00,1.35E+00,1.22E+00
650,1.53E+00,1.36E+00,1.23E+00
651,1.61E+00,1.44E+00,1.31E+00
652,1.59E+00,1.39E+00,1.26E+00
653,1.60E+00,1.43E+00,1.30E+00
654,1.58E+00,1.42E+00,1.28E+00
655,1.52E+00,1.35E+00,1.22E+00
656,1.32E+00,1.19E+00,1.07E+00
657,1.38E+00,1.24E+00,1.12E+00
658,1.54E+00,1.39E+00,1.25E+00
659,1.54E+00,1.39E+00,1.26E+00
660,1.56E+00,1.40E+00,1.27E+00
661,1.57E+00,1.39E+00,1.26E+00
662,1.57E+00,1.38E+00,1.25E+00
663,1.56E+00,1.38E+00,1.25E+00
664,1.55E+00,1.40E+00,1.26E+00
665,1.57E+00,1.42E+00,1.29E+00
666,1.56E+00,1.42E+00,1.29E+00
667,1.54E+00,1.41E+00,1.28E+00
668,1.53E+00,1.42E+00,1.28E+00
669,1.56E+00,1.44E+00,1.30E+00
670,1.53E+00,1.42E+00,1.29E+00
671,1.53E+00,1.42E+00,1.28E+00
672,1.51E+00,1.40E+00,1.27E+00
673,1.52E+00,1.41E+00,1.28E+00
674,1.51E+00,1.41E+00,1.27E+00
675,1.50E+00,1.40E+00,1.26E+00
676,1.52E+00,1.41E+00,1.28E+00
677,1.50E+00,1.40E+00,1.27E+00
678,1.51E+00,1.41E+00,1.27E+00
679,1.49E+00,1.39E+00,1.26E+00
680,1.49E+00,1.40E+00,1.27E+00
681,1.49E+00,1.39E+00,1.26E+00
682,1.49E+00,1.40E+00,1.27E+00
683,1.48E+00,1.38E+00,1.25E+00
684,1.47E+00,1.37E+00,1.24E+00
685,1.47E+00,1.37E+00,1.25E+00
686,1.43E+00,1.34E+00,1.22E+00
687,1.47E+00,9.68E-01,8.83E-01
688,1.48E+00,1.12E+00,1.02E+00
689,1.48E+00,1.13E+00,1.03E+00
690,1.48E+00,1.18E+00,1.07E+00
691,1.47E+00,1.23E+00,1.12E+00
692,1.45E+00,1.27E+00,1.15E+00
693,1.46E+00,1.26E+00,1.14E+00
694,1.46E+00,1.25E+00,1.13E+00
695,1.44E+00,1.27E+00,1.15E+00
696,1.44E+00,1.27E+00,1.15E+00
697,1.44E+00,1.34E+00,1.22E+00
698,1.42E+00,1.32E+00,1.20E+00
699,1.43E+00,1.29E+00,1.17E+00
700,1.42E+00,1.28E+00,1.16E+00
701,1.41E+00,1.27E+00,1.15E+00
702,1.40E+00,1.27E+00,1.15E+00
703,1.41E+00,1.27E+00,1.16E+00
704,1.42E+00,1.31E+00,1.19E+00
705,1.43E+00,1.32E+00,1.20E+00
706,1.41E+00,1.31E+00,1.19E+00
707,1.40E+00,1.31E+00,1.19E+00
708,1.40E+00,1.30E+00,1.18E+00
709,1.39E+00,1.31E+00,1.19E+00
710,1.40E+00,1.32E+00,1.20E+00
711,1.40E+00,1.32E+00,1.19E+00
712,1.38E+00,1.31E+00,1.19E+00
713,1.37E+00,1.29E+00,1.17E+00
714,1.38E+00,1.30E+00,1.18E+00
715,1.35E+00,1.26E+00,1.14E+00
716,1.37E+00,1.27E+00,1.15E+00
717,1.37E+00,1.11E+00,1.01E+00
718,1.36E+00,1.03E+00,9.39E-01
719,1.30E+00,9.23E-01,8.43E-01
720,1.35E+00,9.86E-01,8.99E-01
721,1.35E+00,1.09E+00,9.90E-01
722,1.36E+00,1.24E+00,1.13E+00
723,1.35E+00,1.14E+00,1.04E+00
724,1.36E+00,1.06E+00,9.63E-01
725,1.35E+00,1.04E+00,9.47E-01
726,1.34E+00,1.08E+00,9.86E-01
727,1.34E+00,1.09E+00,9.90E-01
728,1.34E+00,1.04E+00,9.50E-01
729,1.28E+00,1.05E+00,9.55E-01
730,1.34E+00,1.13E+00,1.03E+00
731,1.31E+00,1.07E+00,9.77E-01
732,1.33E+00,1.15E+00,1.05E+00
733,1.31E+00,1.20E+00,1.09E+00
734,1.34E+00,1.24E+00,1.13E+00
735,1.33E+00,1.22E+00,1.11E+00
736,1.31E+00,1.21E+00,1.10E+00
737,1.31E+00,1.20E+00,1.10E+00
738,1.30E+00,1.23E+00,1.12E+00
739,1.26E+00,1.19E+00,1.09E+00
740,1.28E+00,1.22E+00,1.11E+00
741,1.27E+00,1.21E+00,1.11E+00
742,1.26E+00,1.22E+00,1.11E+00
743,1.29E+00,1.24E+00,1.13E+00
744,1.30E+00,1.25E+00,1.14E+00
745,1.29E+00,1.25E+00,1.14E+00
746,1.29E+00,1.25E+00,1.14E+00
747,1.29E+00,1.25E+00,1.14E+00
